Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.75515747,87.10990906,100.8810577,104.0935669,90.20690155,91.40940094,97.09140778,97.60320282,106.2586899,104.0277786,95.40541077,98.3717804,,,99.45204926,106.0561295,,,,106.1011887,107.0254135,99.4091568,103.0911865,93.40659332,
AFE,Africa Eastern and Southern,,,37.43724823,38.16513062,39.12631989,39.97486877,40.71406937,42.07307816,43.43009186,45.87363052,46.71244812,48.31629181,49.22523117,50.346241,53.67660141,50.58481979,50.45972824,49.24763107,47.8259201,46.25574875,47.55992126,48.74192047,47.69887161,49.1685791,48.00696182,48.31211853,48.59495163,48.05268097,46.74779129,46.67588043,46.03342819,47.86663818,49.08946991,50.41680145,51.51139069,54.03422165,56.88735962,58.72240829,62.29362106,66.61881256,66.87374115,65.38092804,65.7979126,65.87258148,66.41423798,66.43496704,67.41673279,68.63954926,69.875,70.37373352,71.27111053,72.30491638,71.33622742,
AFG,Afghanistan,,,,,4.696129799,,,5.821760178,6.661290169,,9.442970276,13.98476982,,,12.91047955,12.11536026,,,,,,,,17.07204056,,,,,,,,,,,,,,,,,,,,,,,65.56761169,69.04192352,69.76660919,67.50279999,,,,
AFW,Africa Western and Central,,,44.67911148,44.68832016,44.49499893,45.1592598,45.76158142,46.27133942,47.28583145,47.46054077,47.96656036,48.53554916,48.78982162,48.99829865,49.17338181,49.27595901,49.69501114,49.90512085,49.76298141,49.57086945,49.79465103,49.84669113,50.1471405,50.28417969,50.35754013,50.24032974,50.91241837,50.96131897,51.39677811,51.71398926,52.36880112,53.04502106,53.42840958,54.0705719,54.36436081,56.40122986,58.9998703,56.65354156,55.36901093,58.24517822,59.67697906,61.07376099,62.73786163,62.72602844,63.28001022,64.30951691,64.9287796,64.45777893,64.78121185,64.99474335,65.43846893,66.15293121,64.92678833,65.61779022
AGO,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5583992,36.45767975,36.21923828,35.86365128,,,,,,,,,,59.0305481,60.20042801,
ALB,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,90.58026123,,,,,,,107.9253769,104.7206726,,,108.7185898,109.8604736,107.6139221,101.4887238,100.7001419,118.6497803,87.77232361,106.8716888,98.1427002,99.86972046,104.4630737,102.0253983,94.47618866,97.04009247,94.84928894,97.50276184,91.69960022
AND,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.74923706,102.4242401,106.1946869,,,,,,,,,,65.67568207,68.60157776,64.20764923,66.09194946,62.35955048,61.99460983,61.64384079,60.09281158,,68.15920258
ARB,Arab World,38.71680832,38.46035004,38.15692139,39.0900383,39.92089081,42.18888092,43.9194603,45.72803879,44.62942123,41.98598862,46.04486084,49.17988968,50.38008881,51.73386002,53.86927032,57.44202042,57.18518066,57.30987167,58.40982819,58.95158005,60.63293839,61.16342926,62.15961838,62.57978821,63.55540085,64.80873871,66.1448822,67.20330048,68.58522034,69.98461151,70.10883331,71.45420074,72.63021851,74.09661102,75.80751801,76.57953644,75.45052338,77.45458221,78.7069931,78.59416199,80.39505005,80.90383911,82.36438751,78.438797,78.73213959,78.06867981,78.07206726,78.35073853,79.38780212,79.68080139,80.7505188,80.96450806,82.3646698,83.72989655
ARE,United Arab Emirates,,,,,31.48278046,43.24414825,50.24361038,56.52960968,58.10195923,63.16656113,67.43968964,72.16374207,81.61280823,84.10325623,84.19415283,79.28408813,82.81664276,80.96613312,75.59152985,79.70329285,86.01954651,92.09213257,92.1190033,91.06661224,91.95426941,91.44165039,87.97959137,86.6882782,86.70594788,91.74375916,95.12320709,112.2133713,107.7769699,95.67386627,92.11451721,90.77863312,88.31291199,88.7828598,,66.9717865,68.28819275,68.45391083,72.60526276,74.98696136,77.12751007,78.85233307,,,,83.00135803,80.02568054,,,100.9227905
ARG,Argentina,73.10605621,75.09815979,,,,81.67282867,81.05715942,,,,,,,,,,,,,,,,,,,,94.69560242,94.98332977,103.8331375,100.8948212,100.9425201,100.5229034,103.2058334,100.6469421,98.80518341,95.7585907,96.67160034,99.47103119,103.0543365,103.5590286,103.731308,103.9200516,104.1178665,103.5876312,105.5988083,106.2967834,107.8207626,102.2299118,101.081398,101.146431,105.180069,106.3924179,103.8857498,
ARM,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.73071289,86.52079773,99.04038239,93.87973785,92.8469696,97.52372742,98.51573181,,91.86325836,93.53421783,93.80789948,,93.34204102,94.115242,104.3799896,101.9380112,98.58821869,95.98857117,101.7783737,100.1867523,91.07187653,92.3628006
ASM,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,74.18334961,73.36898041,,,,,,,,,,,,,,,,84.28804779,,,,,,,,,,,,,,,,109.1275177,104.2640991,118.1952667,113.56707,,114.9408264,109.3558273,99.05512238,99.19871521,106.4620438,107.7294693,107.7287064,,,,
AUS,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,,95.04364014,97.14814758,96.50691986,,,,,,,,,,,,,,,,,,,,,,,,,99.8747406,98.92333221,,,99.50287628,,100.3068924,,,,,,,100.4425201,96.7753067,98.53124237,98.0967865,98.62798309,96.56767273,98.88742065,98.20957184,98.97820282,97.44068909,100.079628,96.62406921,
AZE,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.49742889,93.98149872,100.9912262,90.24809265,94.85749817,89.6128006,90.931427,98.49185181,89.71559906,91.42843628,88.97885132,92.18356323,91.59458923,86.54667664,97.61051941,101.6183319,109.7202072,107.6183777,100.6412125,100.3731613,99.16851807,96.52568054,99.01213074,95.94606781
